sheet_name,page_number,component_ref,physical_ref,unit_suffix,pin_id,pin_number,net_name,implicit,component_anchor_count,component_anchor_x0_points,component_anchor_y0_points,component_anchor_x1_points,component_anchor_y1_points,component_anchor_center_x_points,component_anchor_center_y_points,pin_anchor_count,pin_anchor_x0_points,pin_anchor_y0_points,pin_anchor_x1_points,pin_anchor_y1_points,pin_anchor_center_x_points,pin_anchor_center_y_points
analog_1.SchDoc,1,C10A,C10A,,C10A-1,1,NetC10A_1,false,1,583.0,168.282,588.0,172.03,585.5,170.156,1,580.0,172.521,583.0,175.02,581.5,173.77
analog_1.SchDoc,1,C10A,C10A,,C10A-2,2,NetC10A_2,false,1,583.0,168.282,588.0,172.03,585.5,170.156,1,585.0,172.521,588.0,175.02,586.5,173.77
analog_1.SchDoc,1,C10B,C10B,,C10B-1,1,NetC10A_1,false,1,583.0,181.521,588.0,184.02,585.5,182.77,1,580.0,184.521,583.0,187.02,581.5,185.77
analog_1.SchDoc,1,C10B,C10B,,C10B-2,2,NetC10A_2,false,1,583.0,181.521,588.0,184.02,585.5,182.77,1,585.0,184.521,588.0,187.02,586.5,185.77
analog_1.SchDoc,1,C11A,C11A,,C11A-1,1,NetC10A_1,false,1,583.0,198.521,588.0,201.02,585.5,199.77,1,580.0,202.76,583.0,204.01,581.5,203.385
analog_1.SchDoc,1,C11A,C11A,,C11A-2,2,NetC11A_2,false,1,583.0,198.521,588.0,201.02,585.5,199.77,1,585.0,202.76,588.0,204.01,586.5,203.385
analog_1.SchDoc,1,C11B,C11B,,C11B-1,1,NetC10A_1,false,1,583.0,210.521,588.0,213.02,585.5,211.77,1,580.0,214.76,583.0,216.01,581.5,215.385
analog_1.SchDoc,1,C11B,C11B,,C11B-2,2,NetC11A_2,false,1,583.0,210.521,588.0,213.02,585.5,211.77,1,585.0,214.76,588.0,216.01,586.5,215.385
analog_1.SchDoc,1,C12A,C12A,,C12A-1,1,NetC10A_1,false,1,583.0,227.521,588.0,230.02,585.5,228.77,1,580.0,231.76,583.0,233.01,581.5,232.385
analog_1.SchDoc,1,C12A,C12A,,C12A-2,2,NetC12A_2,false,1,583.0,227.521,588.0,230.02,585.5,228.77,1,585.0,231.76,588.0,233.01,586.5,232.385
analog_1.SchDoc,1,C12B,C12B,,C12B-1,1,NetC10A_1,false,1,583.0,239.282,588.0,243.03,585.5,241.156,1,580.0,243.76,583.0,245.01,581.5,244.385
analog_1.SchDoc,1,C12B,C12B,,C12B-2,2,NetC12A_2,false,1,583.0,239.282,588.0,243.03,585.5,241.156,1,585.0,243.76,588.0,245.01,586.5,244.385
analog_1.SchDoc,1,C13A,C13A,,C13A-1,1,NetC10A_1,false,1,583.0,256.282,588.0,260.03,585.5,258.156,1,580.0,260.521,583.0,263.02,581.5,261.77
analog_1.SchDoc,1,C13A,C13A,,C13A-2,2,NetC13A_2,false,1,583.0,256.282,588.0,260.03,585.5,258.156,1,585.0,260.521,588.0,263.02,586.5,261.77
analog_1.SchDoc,1,C13B,C13B,,C13B-1,1,NetC10A_1,false,1,583.0,268.282,588.0,272.03,585.5,270.156,1,580.0,272.521,583.0,275.02,581.5,273.77
analog_1.SchDoc,1,C13B,C13B,,C13B-2,2,NetC13A_2,false,1,583.0,268.282,588.0,272.03,585.5,270.156,1,585.0,272.521,588.0,275.02,586.5,273.77
analog_1.SchDoc,1,C20A,C20A,,C20A-1,1,NetC20A_1,false,1,207.0,280.282,212.001,284.03,209.5,282.156,1,204.0,284.521,208.0,287.02,206.0,285.77
analog_1.SchDoc,1,C20A,C20A,,C20A-2,2,NetC20A_2,false,1,207.0,280.282,212.001,284.03,209.5,282.156,1,209.0,284.521,213.0,287.02,211.0,285.77
analog_1.SchDoc,1,C20B,C20B,,C20B-1,1,NetC20A_1,false,1,207.0,293.521,212.0,296.02,209.5,294.77,1,204.0,297.76,208.0,299.01,206.0,298.385
analog_1.SchDoc,1,C20B,C20B,,C20B-2,2,NetC20A_2,false,1,207.0,293.521,212.0,296.02,209.5,294.77,1,209.0,297.76,213.0,299.01,211.0,298.385
analog_1.SchDoc,1,C21A,C21A,,C21A-1,1,NetC20A_1,false,1,207.0,310.521,212.0,313.02,209.5,311.77,1,204.0,314.76,208.0,316.01,206.0,315.385
analog_1.SchDoc,1,C21A,C21A,,C21A-2,2,NetC21A_2,false,1,207.0,310.521,212.0,313.02,209.5,311.77,1,209.0,314.76,213.0,316.01,211.0,315.385
analog_1.SchDoc,1,C21B,C21B,,C21B-1,1,NetC20A_1,false,1,207.0,322.521,212.0,325.02,209.5,323.77,1,204.0,326.76,208.0,328.01,206.0,327.385
analog_1.SchDoc,1,C21B,C21B,,C21B-2,2,NetC21A_2,false,1,207.0,322.521,212.0,325.02,209.5,323.77,1,209.0,326.76,213.0,328.01,211.0,327.385
analog_1.SchDoc,1,C22A,C22A,,C22A-1,1,NetC20A_1,false,1,207.0,339.521,212.0,342.02,209.5,340.77,1,204.0,343.76,208.0,345.01,206.0,344.385
analog_1.SchDoc,1,C22A,C22A,,C22A-2,2,NetC22A_2,false,1,207.0,339.521,212.0,342.02,209.5,340.77,1,209.0,343.76,213.0,345.01,211.0,344.385
analog_1.SchDoc,1,C22B,C22B,,C22B-1,1,NetC20A_1,false,1,207.0,351.282,212.001,355.03,209.5,353.156,1,204.0,355.521,208.0,358.02,206.0,356.77
analog_1.SchDoc,1,C22B,C22B,,C22B-2,2,NetC22A_2,false,1,207.0,351.282,212.001,355.03,209.5,353.156,1,209.0,355.521,213.0,358.02,211.0,356.77
analog_1.SchDoc,1,C23A,C23A,,C23A-1,1,NetC20A_1,false,1,207.0,368.282,212.001,372.03,209.5,370.156,1,204.0,372.521,208.0,375.02,206.0,373.77
analog_1.SchDoc,1,C23A,C23A,,C23A-2,2,NetC23A_2,false,1,207.0,368.282,212.001,372.03,209.5,370.156,1,209.0,372.521,213.0,375.02,211.0,373.77
